id	dataset_id	institution_code	collection_code	catalog_number	basis_of_record	scientific_name	scientific_name_author	taxon_id	kingdom	phylum	class	order	family	genus	specific_epithet	kingdom_id	phylum_id	class_id	order_id	family_id	genus_id	species_id	country_code	host_country	latitude	longitude	year	month	event_date	elevation_in_meters	depth_in_meters	verbatim_scientific_name	taxon_rank	verbatim_kingdom	verbatim_phylum	verbatim_class	verbatim_order	verbatim_family	verbatim_genus	verbatim_specific_epithet	verbatim_infraspecific_epithet	verbatim_latitude	verbatim_longitude	coordinate_precision	maximum_elevation_in_meters	minimum_elevation_in_meters	elevation_precision	minimum_depth_in_meters	maximum_depth_in_meters	depth_precision	continent_ocean	state_province	county	country	recorded_by	locality	verbatim_year	verbatim_month	day	verbatim_basis_of_record	identified_by	date_identified	created	modified
240720477	8937328e-f762-11e1-a439-00145eb45e9a	OKL	NICK051	DA-NICK051	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		US								Pinus echinata P. Mill.																															2010-08-10T15:43Z	2011-12-15T16:55Z
172361692	95b2d7ca-f762-11e1-a439-00145eb45e9a	MISS	MISS Vascular Plants	22864	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US								Pinus echinata P. Mill.																					Yalobusha	USA	T. M. Pullen								2008-08-07T12:50Z	2009-08-24T18:42Z
168734783	8937328e-f762-11e1-a439-00145eb45e9a	OKL	2212	OKL4955	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		US								Pinus echinata P. Mill.																															2008-07-23T11:12Z	2011-12-15T16:55Z
168734909	8937328e-f762-11e1-a439-00145eb45e9a	OKL	8094	OKL4914	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		US								Pinus echinata P. Mill.																															2008-07-23T11:12Z	2011-12-15T16:55Z
168735410	8937328e-f762-11e1-a439-00145eb45e9a	TULS	s.n.	TULS006509	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		US								Pinus echinata P. Mill.																															2008-07-23T11:12Z	2011-12-15T16:55Z
217036080	7133ff0a-f762-11e1-a439-00145eb45e9a	NY	Herbarium	61008	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US			1983	5	1983-05-09T00:00Z			Pinus echinata Mill.		Plantae	Pinophyta (conifers)			Pinaceae	Pinus	echinata											North America	Oklahoma	Le Flore Co.	United States of America	M. H. Nee	This specimen represents an endangered or threatened species. The specific locality has been removed from this record to protect this species from over-collection. These data may be supplied to researchers on request.	1983	05	09	S			2009-08-24T16:41Z	2011-01-28T03:07Z
217036107	7133ff0a-f762-11e1-a439-00145eb45e9a	NY	Herbarium	60924	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US			1938	2	1938-02-06T00:00Z			Pinus echinata Mill.		Plantae	Pinophyta (conifers)			Pinaceae	Pinus	echinata											North America	North Carolina		United States of America	E. S. Harrar	This specimen represents an endangered or threatened species. The specific locality has been removed from this record to protect this species from over-collection. These data may be supplied to researchers on request.	1938	02	06	S			2009-08-24T16:41Z	2011-01-28T03:07Z
219013940	96b064a8-f762-11e1-a439-00145eb45e9a	IBUNAM	MEXU	sn477	UNKNOWN	Pinus echinata Mill.	Miller	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		MX			1913	9	1913-09-09T00:00Z	0		Pinus echinata Miller		Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Pinus	echinata						0						Oklahoma		Estados Unidos de América	Stevens G. W.	Oklahoma, valleys and sides extensively used for lunnbering near Page before country	1913	9	9				2009-09-09T18:54Z	2009-09-09T18:54Z
371258389	80c88d00-f762-11e1-a439-00145eb45e9a	SUNY	BWCw	N° 4	UNKNOWN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	MX								Pinus echinata Mill.		PLANTAE	MAGNOLIOPHYTA	GYMNOSPERMA	Coniferales	Pinaceae	Pinus	echinata												NEW YORK	SYRACUSE	U.S.A.		Regions 4,5,7-9,11,12, Syracuse, New York, U.S.A.				Colectado			2011-07-14T04:00Z	2013-02-04T22:09Z
438257106	b5cdf794-8fa4-4a85-8b26-755d087bf531	MNHN	P	P01583411	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		FR								pinus echinata						pinaceae	pinus	echinata																				PreservedSpecimen			2011-11-11T02:36Z	2013-08-08T20:28Z
331854343	8937328e-f762-11e1-a439-00145eb45e9a	OKLA	36	OKLA145314	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		US								Pinus echinata P. Mill.																															2011-03-07T11:53Z	2011-12-15T16:55Z
