gbif	canonical	genus_jw	se_jw	gswitch	fuzzy	bothwfo	suspect	spelling_alternative	remove
Hypericum perforatum var. perforatum	Hypericum perforatum var. petiolatum	1	0.945150501672241	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Agrostis gigantifera	Agrostis gigantea	1	0.945454545454546	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Anthocleista squamata de	Anthocleista squamata	1	0.945454545454546	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Arctium majus subsp. nemorosum	Arctium minus subsp. nemorosum	1	0.945454545454546	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Eremopyrum buonapartis	Eremopyrum bonaepartis	1	0.945454545454546	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Potamogeton biformis	Potamogeton biformoides	1	0.945454545454546	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Setaria ustilata de	Setaria ustilata	1	0.945454545454546	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Thymus serpyllum var. lineatus	Thymus serpyllum var. minutus	1	0.945731225296443	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Potamogeton lucens var. lancifolius	Potamogeton lucens var. longifolius	1	0.946169772256729	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Hordeum vulgare var. nigrum	Hordeum vulgare var. nudum	1	0.946198830409357	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Arachis hypogea	Arachis hypogaea	1	0.946428571428571	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Bromus erectus var. villosus	Bromus erectus var. subvillosus	1	0.946428571428571	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Thuja orientalis var. aurea	Thuja occidentalis var. aurea	1	0.946583850931677	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Maytenus guianensis	Maytenus guyanensis	1	0.946666666666667	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Deschampsia caespitosa subsp. beringensis	Deschampsia cespitosa subsp. beringensis	1	0.94679802955665	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Deschampsia caespitosa subsp. subtriflora	Deschampsia cespitosa subsp. subtriflora	1	0.94679802955665	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Saxifraga caespitosa subsp. sileneflora	Saxifraga cespitosa subsp. sileneflora	1	0.94679802955665	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Agrostis stolonifera f. diffusa	Agrostis stolonifera var. diffusa	1	0.946861471861472	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Anemone multifida f. multifida	Anemone multifida var. multifida	1	0.946861471861472	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Aster ericoides f. ericoides	Aster ericoides var. ericoides	1	0.946861471861472	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Berberis amurensis f. latifolia	Berberis amurensis var. latifolia	1	0.946861471861472	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Cyperus strigosus f. strigosus	Cyperus strigosus var. strigosus	1	0.946861471861472	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Epilobium chilense f. latifolium	Epilobium chilense var. latifolium	1	0.946861471861472	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Festuca arenaria subsp. arenaria	Festuca arenaria subsp. oraria	1	0.946861471861472	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Hypericum pulchrum f. procumbens	Hypericum pulchrum var. procumbens	1	0.946861471861472	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Poa trivialis f. latifolia	Poa trivialis var. latifolia	1	0.946861471861472	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Potamogeton gramineus f. gramineus	Potamogeton gramineus var. gramineus	1	0.946861471861472	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Ranunculus japonicus f. japonicus	Ranunculus japonicus var. japonicus	1	0.946861471861472	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Achillea millefolium f. millefolium	Achillea millefolium var. millefolium	1	0.946879120879121	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Lamium amplexicaule f. albiflorum	Lamium amplexicaule var. albiflorum	1	0.946879120879121	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Ardisia kusukuensis	Ardisia kusukusensis	1	0.946969696969697	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Carex paleacoides	Carex paleaceoides	1	0.946969696969697	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Iva xanthifolia	Iva xanthiifolia	1	0.946969696969697	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Juncus lamprocarpus	Juncus lampocarpus	1	0.946969696969697	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Pocilla hederiifolia	Pocilla hederifolia	1	0.946969696969697	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Pratia begoniifolia	Pratia begonifolia	1	0.946969696969697	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Scutellaria scordiifolia	Scutellaria scordifolia	1	0.946969696969697	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Acer pictum f. ambiguum	Acer pictum var. ambiguum	1	0.947124183006536	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Astragalus alpinus f. alpinus	Astragalus alpinus var. alpinus	1	0.947124183006536	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Veronica nummulariaefolia	Veronica nummulariifolia	1	0.947380952380952	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Archangelica norvegica	Archangelica norwegica	1	0.948148148148148	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Chrysanthemum zawodskii	Chrysanthemum zawadskii	1	0.948148148148148	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Themeda forskalii var. vulgaris	Themeda forskallii var. vulgaris	1	0.948188405797101	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Acer pictum f. mono	Acer pictum var. mono	1	0.948214285714286	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Dioon edule f. edule	Dioon edule var. edule	1	0.948214285714286	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Abildgaardia monostachyos	Abildgaardia monostachya	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Aegilops agropyroides	Aegilops agropiroides	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Allium purpurascens	Allium purpurescens	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Alocasia macrorrhiza	Alocasia macrorrhizos	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Alocasia macrorhizus	Alocasia macrorrhizos	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Aristida purpurescens	Aristida purpurascens	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Brachiaria erucaeformis	Brachiaria eruciformis	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Bromus brizaeformis	Bromus briziformis	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Canna warscewiczii	Canna warszewiczii	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Cardaria brachysepala	Cardaria brachypetala	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Carya olivaeformis	Carya oliviformis	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Colocasia macrorhizus	Colocasia macrorrhizos	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Erodium oxyrrhynchum	Erodium oxyrhinchum	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Fimbristylis monostachyos	Fimbristylis monostachya	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Geranium scopulicola	Geranium scopulicolum	1	0.948484848484848	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
Grona heterocarpa	Grona heterocarpos	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Heterotheca graminiflora	Heterotheca graminifolia	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Spartina alternifolia	Spartina alterniflora	1	0.948484848484848	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Aconitum anthora subsp. memorosum	Aconitum anthora subsp. nemorosum	1	0.948550724637681	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Cormonema biglandulosum	Cormonema glandulosum	1	0.948717948717949	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Centaurium erythraea var. majus	Centaurium erythraea var. laxum	1	0.948888888888889	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Avena sativa subsp. sativa	Avena sativa subsp. fatua	1	0.948947368421053	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Deschampsia flexuosa var. aurea	Deschampsia flexuosa var. mairei	1	0.948947368421053	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Galium mollugo var. erectum	Galium mollugo var. elatum	1	0.948947368421053	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Pimpinella saxifraga var. nigra	Pimpinella saxifraga var. nana	1	0.948947368421053	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Thlaspi vosgesiacum	Thlaspi vogesiacum	1	0.949090909090909	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Miscanthus sinensis f. gracillimus	Miscanthus sinensis var. gracillimus	1	0.949122529644269	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Barbarea vulgaris subsp. rivularis	Barbarea vulgaris subsp. vulgaris	1	0.949579710144928	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Aster caerulescens	Aster coerulescens	1	0.95	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Euphorbia esula var. esula	Euphorbia esula var. elata	1	0.95	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Inga prieurii	Inga prieurei	1	0.95	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Juncus gussonii	Juncus gussonei	1	0.95	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Lactuca scariosa	Lactuca scariola	1	0.95	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Lathyrus festicus	Lathyrus festivus	1	0.95	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Nuphar shimadae	Nuphar shimadai	1	0.95	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Rhynchospora berterii	Rhynchospora berteroi	1	0.95	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Rubia bocconii	Rubia bocconei	1	0.95	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Salix capreola	Salix caprea	1	0.95	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Shibataea kumasasa	Shibataea kumasaca	1	0.95	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Sphenopholis obtusa	Sphenopholis obtusata	1	0.95	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Tristania whiteana	Tristania whitiana	1	0.95	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Hieracium lactucella subsp. lampreilema	Hieracium lactucella subsp. amaureilema	1	0.950191570881226	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
