canonical	gbif_match	gbif_full
Gentiana loureiroi	Gentiana loureirii	Gentiana loureirii (G.Don) Griseb.
Hieracium pilosella subsp. holoskense	Hieracium pilosella subsp. holostenum	Hieracium pilosella subsp. holostenum Nägeli & Peter
Muscari lelievrii	Muscari lelievrei	Muscari lelievrei Boreau
Ranunculus aquaticus	Ranunculus aquatic	Ranunculus aquatic
Saxifraga granulate	Saxifraga granulata	Saxifraga granulata L.
Setaria adhaerens	Setaria adhaerans	Setaria adhaerans (Forssk.) Chiov.
Stipa zalesskii	Stipa zalesskyi	Stipa zalesskyi Wilensky ex Grossh.
Trisetum alaskanum	Trisetum alascanum	Trisetum alascanum Nash
Anthemis triumfetti subsp. aligulata	Anthemis triumfettii subsp. aligulata	Anthemis triumfettii subsp. aligulata (Losa) J.Sánchez ex O.Bolòs & Vigo
Anthemis triumfetti subsp. aligulata	Anthemis triumfettii subsp. aligulata	Anthemis triumfettii subsp. aligulata (Losa) J.Sánchez
Critesion brachyantherum	Critesion brachyanthemum	Critesion brachyanthemum (Nevski) Tzvelev, 1999
Panicum pallidifuscum	Panicum pallide-fuscum	Panicum pallide-fuscum Schumach.
Aristida purpurascens var. tenuispica	Aristida purpurescens var. tenuispica	Aristida purpurescens var. tenuispica (Hitchc.) Allred, 1986
Macrozamia riedlei	Macrozamia reidlei	Macrozamia reidlei C.A.Gardner, 1931
Quercus femina	Quercus foemina	Quercus foemina Mill., 1768
Salvia cleistogama	Salvia cleistogama de	Salvia cleistogama de Bary & Paul
Calopogonium pendunculatum	Calopogonium pedunculatum	Calopogonium pedunculatum Standl.
Artemisia spithamaea	Artemisia spithamea	Artemisia spithamea Pursh
Barkhausia haensleri	Barkhausia haenseleri	Barkhausia haenseleri Boiss. ex DC.
Aconitum delphiniifolium	Aconitum delphinifolium	Aconitum delphinifolium DC.
Chrysanthemum parthenifolium	Chrysanthemum partheniifolium	Chrysanthemum partheniifolium (Willd.) Pers.
Hemerocallis lilioasphodelus	Hemerocallis liliasphodelus	Hemerocallis liliasphodelus
Pyrethrum parthenifolium	Pyrethrum partheniifolium	Pyrethrum partheniifolium Willd.
Thalictrum aquilegiifolium	Thalictrum aquilegifolium	Thalictrum aquilegifolium L.
Cyperus flavescens var. poiformis	Cyperus flavescens var. poaeformis	Cyperus flavescens var. poaeformis (Pursh) Fernald
Oxalis acetosella subsp. taimonii	Oxalis acetosella subsp. taemoni	Oxalis acetosella subsp. taemoni (Yamam.) S.F.Huang & T.C.Huang
Alsine avicularum	Alsine aviculorum	Alsine aviculorum Lam., 1779
Arabis columnalis	Arabis columnaris	Arabis columnaris Nakai
Astragalus applegatei	Astragalus applegatii	Astragalus applegatii M.Peck
Bromus distachyos	Bromus distachyus	Bromus distachyus L.
Cyperus forskaolii	Cyperus forskhalii	Cyperus forskhalii A.Dietr., 1832
Lonicera korolkovii	Lonicera korolkowii	Lonicera korolkowii Stapf
Pedilanthus cymbiferus	Pedilanthus cymbifer	Pedilanthus cymbifer Schltdl.
Rosa cinnamomea	Rosa cinnamonea	Rosa cinnamonea L., 1753
Verbascum phoeniceum	Verbascum phoenicium	Verbascum phoenicium L.
Alysicarpus nummularifolius	Alysicarpus nummulariifolius	Alysicarpus nummulariifolius DC.
Agrostis kufuim	Agrostis kufium	Agrostis kufium Speg.
Sagittaria sagittifolia var. latifolia	Sagittaria sagittifolia var. arifolia	Sagittaria sagittifolia var. arifolia Rouy, 1912
Betula lenta var. lutea	Betula lenta var. lenta	Betula lenta var. lenta
Brassica sinapioides	Brassica sinapoides	Brassica sinapoides Rothm.
Elodea brandegeae	Elodea brandegeeae	Elodea brandegeeae H.St.John
Baptisia pendula	Baptisia pedula	Baptisia pedula Larisey
Gentianella detonsa	Gentianella dentosa	Gentianella dentosa Bercht. & J.Presl
Oenothera chicaginensis	Oenothera chicaginensis de	Oenothera chicaginensis de Vries ex Renner
Anchusa velenovskyi	Anchusa velenovskii	Anchusa velenovskii (Gusul.) Stoj.
Brassica willdenovii	Brassica willdenowii	Brassica willdenowii Boiss.
Buddleja davidii var. magnifera	Buddleja davidii var. magnifica	Buddleja davidii var. magnifica (E.H.Wilson) Rehder & E.H.Wilson
Caryota monostachys	Caryota monostachya	Caryota monostachya Becc.
Cyperus keniaeensis	Cyperus keniensis	Cyperus keniensis Kük.
Galeopsis pernkofferi	Galeopsis pernhofferi	Galeopsis pernhofferi Wettst.
Indigofera stenophylha	Indigofera stenophylla	Indigofera stenophylla Eckl. & Zeyh.
