dlist,elist,genus_jw,se_jw,gender_switch
Acacia caesia,Acacia caesiella,1.0,0.944444444444,False
Acacia fimbriata,Acacia fimbriata,1.0,1.0,False
Acacia retinodes,Acacia retinodes,1.0,1.0,False
Acacia borleae,Acacia borleae,1.0,1.0,False
Acacia praetermissa,Acacia praetervisa,1.0,0.974242424242,False
Acacia tumida,Acacia tumida,1.0,1.0,False
Acacia subrigida,Acacia subrigida,1.0,1.0,False
Acacia dawsonii,Acacia dawsonii,1.0,1.0,False
Acacia modesta,Acacia modesta,1.0,1.0,False
Acacia anthochaera,Acacia anthochaera,1.0,1.0,False
Acacia sibina,Acacia sibina,1.0,1.0,False
Acacia conniana,Acacia conniana,1.0,1.0,False
Acacia subtiliformis,Acacia subtilifolia,1.0,0.986752136752,False
Acacia guinetii,Acacia guinetii,1.0,1.0,False
Acacia blakelyi,Acacia blakelyi,1.0,1.0,False
Acacia pycnantha,Acacia pycnantha,1.0,1.0,False
Acacia praelongata,Acacia praelongata,1.0,1.0,False
Acacia brunioides,Acacia brunioides,1.0,1.0,False
Acacia sinuata,Acacia sinuata,1.0,1.0,False
Acacia delphina,Acacia delphina,1.0,1.0,False
Acacia platycarpa,Acacia platycarpa,1.0,1.0,False
Acacia armata,Acacia armata,1.0,1.0,False
Acacia sphacellata,Acacia sphacelata,1.0,0.990909090909,False
Acacia linifolia,Acacia linifolia,1.0,1.0,False
Acacia dempsteri,Acacia dempsteri,1.0,1.0,False
Acacia nigrescens,Acacia nigrescens,1.0,1.0,False
Acacia dictyoneura,Acacia dictyoneura,1.0,1.0,False
Acacia platensis,Acacia platensis,1.0,1.0,False
Acacia leiocalyx,Acacia leiocalyx,1.0,1.0,False
Acacia glomerosa,Acacia glomerosa,1.0,1.0,False
Acacia lineata,Acacia lineata,1.0,1.0,False
Acacia hamiltoniana,Acacia hamiltoniana,1.0,1.0,False
Acacia courtii,Acacia courtii,1.0,1.0,False
Acacia erubescens,Acacia erubescens,1.0,1.0,False
Acacia chartacea,Acacia chartacea,1.0,1.0,False
Acacia colei,Acacia colei,1.0,1.0,False
Acacia rigescens,Acacia frigescens,1.0,0.966666666667,False
Acacia michelii,Acacia mitchellii,1.0,0.946666666667,False
Acacia stipuligera,Acacia stipuligera,1.0,1.0,False
Acacia lycopodiifolia,Acacia lycopodiifolia,1.0,1.0,False
Acacia spirorbis,Acacia spirorbis,1.0,1.0,False
Acacia lanata,Acacia lanata,1.0,1.0,False
Acacia nebrownii,Acacia nebrownii,1.0,1.0,False
Acacia rostrata,Acacia prostrata,1.0,0.962962962963,False
Acacia tortilis,Acacia tortilis,1.0,1.0,False
Acacia mabellae,Acacia mabellae,1.0,1.0,False
Acacia eriopoda,Acacia eriopoda,1.0,1.0,False
Acacia leprosa,Acacia leprosa,1.0,1.0,False
Acacia horrida,Acacia horrida,1.0,1.0,False
Acacia lunata,Acacia lunata,1.0,1.0,False
Acacia trachyphloia,Acacia trachyphloia,1.0,1.0,False
Acacia latisepala,Acacia latisepala,1.0,1.0,False
Acacia caffra,Acacia caffra,1.0,1.0,False
Acacia synchronicia,Acacia synchronicia,1.0,1.0,False
Acacia obtusata,Acacia obtusata,1.0,1.0,False
Acacia triacantha,Acacia triacanthos,1.0,0.990606060606,False
Acacia mollifolia,Acacia mollifolia,1.0,1.0,False
Acacia blakei,Acacia blakelyi,1.0,0.958333333333,False
Acacia hamersleyensis,Acacia hamersleyensis,1.0,1.0,False
Acacia debilis,Acacia debilis,1.0,1.0,False
Acacia macracantha,Acacia macracantha,1.0,1.0,False
Acacia pulchella,Acacia pulchella,1.0,1.0,False
Acacia nervosa,Acacia nervosa,1.0,1.0,False
Acacia mitchellii,Acacia mitchellii,1.0,1.0,False
Acacia chinchillensis,Acacia chinchillensis,1.0,1.0,False
Acacia idiomorpha,Acacia idiomorpha,1.0,1.0,False
Acacia gentlei,Acacia gentlei,1.0,1.0,False
Acacia julifera,Acacia juliflora,1.0,0.94212962963,False
Acacia angustissima,Acacia angustissima,1.0,1.0,False
Acacia willardiana,Acacia willardiana,1.0,1.0,False
Acacia tetragonophylla,Acacia tetragonophylla,1.0,1.0,False
Acacia lineolata,Acacia lineata,1.0,0.955555555556,False
Acacia fasciculifera,Acacia fasciculifera,1.0,1.0,False
Acacia erioloba,Acacia erioloba,1.0,1.0,False
Acacia gordonii,Acacia gordonii,1.0,1.0,False
Acacia williamsonii,Acacia williamsonii,1.0,1.0,False
Acacia genistifolia,Acacia genistifolia,1.0,1.0,False
Acacia ligulata,Acacia ligulata,1.0,1.0,False
Acacia ampliceps,Acacia ampliceps,1.0,1.0,False
Acacia brachypoda,Acacia brachyptera,1.0,0.952727272727,False
Acacia cincinnata,Acacia cincinnata,1.0,1.0,False
Acacia peregrinalis,Acacia peregrina,1.0,0.991666666667,False
Acacia signata,Acacia signata,1.0,1.0,False
Acacia boliviana,Acacia boliviana,1.0,1.0,False
Acacia pachycarpa,Acacia pachycarpa,1.0,1.0,False
Acacia filicoides,Acacia filicioides,1.0,0.968181818182,False
Acacia currani,Acacia curranii,1.0,0.9875,True
Acacia kochii,Acacia hockii,1.0,0.944444444444,False
Acacia pinetorum,Acacia pinetorum,1.0,1.0,False
Acacia pubicosta,Acacia pubicosta,1.0,1.0,False
Acacia houstonii,Acacia houstoni,1.0,0.992592592593,True
Acacia murrayana,Acacia murrayana,1.0,1.0,False
Acacia leptophleba,Acacia leptophylla,1.0,0.963636363636,False
Acacia horridula,Acacia horrida,1.0,0.97037037037,False
Acacia melanoxylon,Acacia melanoxylon,1.0,1.0,False
Acacia roemeriana,Acacia roemeriana,1.0,1.0,False
Acacia mollissima,Acacia mollissima,1.0,1.0,False
Acacia tortuosa,Acacia tortuosa,1.0,1.0,False
Acacia monticola,Acacia monticola,1.0,1.0,False
Acacia dimidiata,Acacia dimidiata,1.0,1.0,False
Acacia oswaldi,Acacia oswaldii,1.0,0.9875,True
Acacia cardiophylla,Acacia cardiophylla,1.0,1.0,False
Acacia karroo,Acacia karroo,1.0,1.0,False
Acacia farnesiana,Acacia farnesiana,1.0,1.0,False
Acacia longispicata,Acacia longispinea,1.0,0.971212121212,False
Acacia pennata,Acacia pennata,1.0,1.0,False
Acacia riceana,Acacia riceana,1.0,1.0,False
Acacia cochlearis,Acacia cochlearis,1.0,1.0,False
Acacia oerfota,Acacia orfota,1.0,0.957142857143,False
Acacia eriocarpa,Acacia eriocarpa,1.0,1.0,False
Acacia glauca,Acacia glauca,1.0,1.0,False
Acacia pachyacra,Acacia pachyacra,1.0,1.0,False
Acacia tenuifolia,Acacia tenuifolia,1.0,1.0,False
Acacia nigripilosa,Acacia nigripilosa,1.0,1.0,False
Acacia wanyu,Acacia wanyu,1.0,1.0,False
Acacia holosericea,Acacia holosericea,1.0,1.0,False
Acacia terminalis,Acacia terminalis,1.0,1.0,False
Acacia glaucocarpa,Acacia glaucocarpa,1.0,1.0,False
Acacia rehmanniana,Acacia rehmanniana,1.0,1.0,False
Acacia olsenii,Acacia olsenii,1.0,1.0,False
Acacia victoriae,Acacia victoriae,1.0,1.0,False
Acacia lazaridis,Acacia lazaridis,1.0,1.0,False
Acacia permixta,Acacia permixta,1.0,1.0,False
Acacia bonariensis,Acacia bonariensis,1.0,1.0,False
Acacia melvillei,Acacia melvillei,1.0,1.0,False
Acacia granitica,Acacia granitica,1.0,1.0,False
Acacia echinula,Acacia echinula,1.0,1.0,False
Acacia nilotica,Acacia nilotica,1.0,1.0,False
Acacia galioides,Acacia galioides,1.0,1.0,False
Acacia concinna,Acacia concinna,1.0,1.0,False
Acacia nigricans,Acacia nigricans,1.0,1.0,False
Acacia pilligaensis,Acacia pilligaensis,1.0,1.0,False
Acacia davyi,Acacia davyi,1.0,1.0,False
Acacia spilleriana,Acacia spilleriana,1.0,1.0,False
Acacia oxycedrus,Acacia oxycedrus,1.0,1.0,False
Acacia calamifolia,Acacia calamifolia,1.0,1.0,False
Acacia maidenii,Acacia maidenii,1.0,1.0,False
Acacia graniticola,Acacia granitica,1.0,0.987878787879,False
Acacia leucolobia,Acacia leucolobia,1.0,1.0,False
Acacia deanei,Acacia deanei,1.0,1.0,False
Acacia humifusa,Acacia humifusa,1.0,1.0,False
Acacia caesiella,Acacia caesiella,1.0,1.0,False
Acacia scleroxyla,Acacia sclerophylla,1.0,0.953333333333,False
Acacia douglasica,Acacia douglasii,1.0,0.979259259259,False
Acacia blayana,Acacia blayana,1.0,1.0,False
Acacia silvestris,Acacia silvestris,1.0,1.0,False
Acacia kraussiana,Acacia kraussiana,1.0,1.0,False
