"gbif","myco","genus_jw","se_jw","gswitch","bothtpl","suspect","remove","manual.remove"
"Aster roseolus","Aster roseus",1,0.95,"False","FALSE","TRUE","FALSE",1
"Capsicum crassiflorum","Capsicum cerasiflorum",1,0.95,"False","FALSE","TRUE","FALSE",1
"Carex marima","Carex maritima",1,0.95,"False","FALSE","TRUE","FALSE",1
"Clematis azurea","Clematis aurea",1,0.95,"False","FALSE","TRUE","FALSE",1
"Festuca foenas","Festuca fenas",1,0.95,"False","FALSE","TRUE","FALSE",1
"Hieracium caesiellum","Hieracium caesium",1,0.95,"False","FALSE","TRUE","FALSE",1
"Hypericum scabrellum","Hypericum scabrum",1,0.95,"False","FALSE","TRUE","FALSE",1
"Lathyrus odorus","Lathyrus odoratus",1,0.95,"False","FALSE","TRUE","FALSE",1
"Leontodon asperus","Leontodon asperrimus",1,0.95,"False","FALSE","TRUE","FALSE",1
"Lonicera alpina","Lonicera alpigena",1,0.95,"False","FALSE","TRUE","FALSE",1
"Phaseolus luteus","Phaseolus luteolus",1,0.95,"False","FALSE","TRUE","FALSE",1
"Polygonum strictum","Polygonum striatum",1,0.95,"False","FALSE","TRUE","FALSE",1
"Rubus affinoides","Rubus affinis",1,0.95,"False","FALSE","TRUE","FALSE",1
"Salsola richleri","Salsola richteri",1,0.95,"False","FALSE","TRUE","FALSE",1
"Scirpus bibracteatus","Scirpus bracteatus",1,0.95,"False","FALSE","TRUE","FALSE",1
"Senecio aurellus","Senecio aureus",1,0.95,"False","FALSE","TRUE","FALSE",1
"Teucrium expansum","Teucrium expassum",1,0.95,"False","FALSE","TRUE","FALSE",1
"Veronica floribunda","Veronica florida",1,0.95,"False","FALSE","TRUE","FALSE",1
"Weigela floribunda","Weigela florida",1,0.95,"False","FALSE","TRUE","FALSE",1
"Hieracium brachycodon","Hieracium brachyacron",1,0.9515151515,"False","FALSE","TRUE","FALSE",1
