dlist,elist,genus_jw,se_jw,gender_switch
Celtis multifolia,Celtis multifolia,1.0,1.0,False
Celtis willdenowiana,Celtis willdenowiana,1.0,1.0,False
Centrostemma micranthum,Centrosema micranthum,0.983333333333,1.0,False
Cerasus virginiana,Cerasus virginica,1.0,0.968888888889,False
Ceratophyllum muticum,Ceratophyllum muticum,1.0,1.0,False
Cercodia incana,Cercodia incana,1.0,1.0,False
Cereus griseus,Cereus griseus,1.0,1.0,False
Cerinthe strigosa,Cerinthe strigosa,1.0,1.0,False
Ceriops candolliana,Ceriops candolleana,1.0,0.981818181818,False
Chamaecyparis plumosa,Chamaecyparis plumosa,1.0,1.0,False
Chamaenerion spicatum,Chamaenerion spicatum,1.0,1.0,False
Charia indeniensis,Charia indeniensis,1.0,1.0,False
Chavica siriboa,Chavica siriboa,1.0,1.0,False
Chavica betle,Chavica betle,1.0,1.0,False
Chavica roxburghii,Chavica roxburghii,1.0,1.0,False
Chiogenes serpyllifolia,Chiogenes serpyllifolia,1.0,1.0,False
Chionanthus macrophylla,Chionanthus macrophyllus,1.0,1.0,True
Chionanthus terniflora,Chionanthus tenuiflora,1.0,0.946666666667,False
Chionanthus latifolia,Chionanthus latifolius,1.0,0.979259259259,True
Chionanthus effusiflora,Chionanthus effusiflorus,1.0,1.0,True
Chionanthus cotinifolia,Chionanthus cotinifolius,1.0,1.0,True
Chionanthus fragrans,Chionanthus fragrans,1.0,1.0,False
Chironia littoralis,Chironia littoralis,1.0,1.0,False
Chisocheton eurycalyx,Chisocheton eurycalyx,1.0,1.0,False
Chlora sicula,Chlora sicula,1.0,1.0,False
Chondrodendron candicans,Chondrodendron candicans,1.0,1.0,False
Chrysothamnus nauseosa,Chrysothamnus nauseosus,1.0,0.965277777778,True
Cieca glabrata,Cieca glabrata,1.0,1.0,False
Cinnamomum camphoratum,Cinnamomum camphora,1.0,0.981818181818,False
Cissus lonicerifolius,Cissus lonicerifolia,1.0,1.0,True
Cissus modestus,Cissus modesta,1.0,0.947619047619,True
Cistanche brunneri,Cistanche brunneri,1.0,1.0,False
Citrus sarcodactylus,Citrus sarcodactylus,1.0,1.0,False
Clausena longipes,Clausena longipes,1.0,1.0,False
Clausena timorensis,Clausena timorensis,1.0,1.0,False
Claytonia longiscapa,Claytonia longiscapa,1.0,1.0,False
Clematis taurica,Clematis taurica,1.0,1.0,False
Clematis massoniana,Clematis massoniana,1.0,1.0,False
Cleome psoraleifolia,Cleome psoraleifolia,1.0,1.0,False
Cleome microtatodonta,Cleome microtatodonta,1.0,1.0,False
Clethra cordata,Clethra cordata,1.0,1.0,False
Clusia hoffmannseggiana,Clusia hoffmannseggiana,1.0,1.0,False
Coccinia moimoi,Coccinia moimoi,1.0,1.0,False
Cocculus umbellatus,Cocculus umbellatus,1.0,1.0,False
Cocculus toxicoferus,Cocculus toxicoferus,1.0,1.0,False
Coelogyne tiomanensis,Coelogyne tiomanensis,1.0,1.0,False
Coelogyne chloroptera,Coelogyne chloroptera,1.0,1.0,False
Colletia tetragona,Colletia tetragona,1.0,1.0,False
Colletia kunthiana,Colletia kunthiana,1.0,1.0,False
Colletia obcordata,Colletia obcordata,1.0,1.0,False
Collomia micrantha,Collomia micrantha,1.0,1.0,False
Collomia cavanillesiana,Collomia cavanillesii,1.0,1.0,False
Colubrina fermenta,Colubrina fermenta,1.0,1.0,False
Comesperma tenue,Comesperma tenue,1.0,1.0,False
Comptonia aspleniifolia,Comptonia aspleniifolia,1.0,1.0,False
Convolvulus azureus,Convolvulus azureus,1.0,1.0,False
Coreopsis cardaminifolia,Coreopsis cardaminefolia,1.0,0.98021978022,False
Cornus quinquenervis,Cornus quinquinervis,1.0,0.957264957265,False
Correa ventricosa,Correa ventricosa,1.0,1.0,False
Cotoneaster cornifolius,Cotoneaster cornifolius,1.0,1.0,False
Cotylonychia chevalieri,Cotylonychia chevalieri,1.0,1.0,False
Crassula ramuliflora,Crassula ramuliflora,1.0,1.0,False
Crataegus chlorocarpa,Crataegus chlorocarpa,1.0,1.0,False
Crataegus germanica,Crataegus germanica,1.0,1.0,False
Crateva membranifolia,Crateva membranifolia,1.0,1.0,False
Croton kaieturi,Croton kaieteuri,1.0,0.981481481481,False
Cryptomeria lobbii,Cryptomeria lobbii,1.0,1.0,False
Cucifera thebaica,Cucifera thebaica,1.0,1.0,False
Cudrania spinosa,Cudrania spinosus,1.0,0.947619047619,True
Cupania fulva,Cupania fulvida,1.0,0.942857142857,False
Cuscuta hygrophilae,Cuscuta hygrophilae,1.0,1.0,False
Cycnium questieauxianum,Cycnium questieauxianum,1.0,1.0,False
Cymbalaria spuria,Cymbalaria spuria,1.0,1.0,False
