"gbif","tank","genus_jw","se_jw","gswitch","bothtpl","suspect","remove","manual.remove"
"Abutilon bidentatum","Abutilon bidentatum",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abutilon grandiflorum","Abutilon grandiflorum",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abutilon grandifolium","Abutilon grandifolium",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abutilon hirtum","Abutilon hirtum",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abutilon incanum","Abutilon incanum",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abutilon indicum","Abutilon indicum",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abutilon malvifolium","Abutilon malvifolium",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abutilon menziesii","Abutilon menziesii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abutilon mollicomum","Abutilon mollicomum",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abutilon mollissimum","Abutilon mollissimum",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abutilon oxycarpum","Abutilon oxycarpum",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abutilon theophrasti","Abutilon theophrasti",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia aciphylla","Acacia aciphylla",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia acradenia","Acacia acradenia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia aculeatissima","Acacia aculeatissima",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia acuminata","Acacia acuminata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia adoxa","Acacia adoxa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia alata","Acacia alata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia alexandri","Acacia alexandri",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia alpina","Acacia alpina",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia ampliceps","Acacia ampliceps",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia amputata","Acacia amputata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia ancistrocarpa","Acacia ancistrocarpa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia aneura","Acacia aneura",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia anthochaera","Acacia anthochaera",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia aphanoclada","Acacia aphanoclada",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia aphylla","Acacia aphylla",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia argyrophylla","Acacia argyrophylla",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia asperulacea","Acacia asperulacea",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia aulacocarpa","Acacia aulacocarpa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia auriculiformis","Acacia auriculiformis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia axillaris","Acacia axillaris",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia ayersiana","Acacia ayersiana",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia baileyana","Acacia baileyana",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia beckleri","Acacia beckleri",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia biflora","Acacia biflora",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia binervata","Acacia binervata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia bivenosa","Acacia bivenosa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia blakelyi","Acacia blakelyi",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia blayana","Acacia blayana",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia bonariensis","Acacia bonariensis",1,1,"False",FALSE,FALSE,FALSE,FALSE
