Epilobium inornatum
Fraxinus dippeliana
Sorocea ilicifolia
Metrosideros queenslandicus
Aloe verecunda
Lysimachia ephemerum
Combretum lomuense
Ileostylus kirkii
Elaphrium mexicanum
Eupatorium lindleyanum
Pernettya philippi
Struthiola incana
Sonchus brachyotus
Viola brevistipulata
Pelargonium urbanum
Artemisia hallaisanensis
Physalis obscura
Turritis arenosa
Ribes ciliatum
Succisa gracilescens
Gomphrena brasiliensis
Gochnatia hypoleuca
Hortia megaphylla
Lavatera hederifolia
Cryptandra hispidula
Corindum halicacabum
Erigeron gouanii
Carex digitalis
Ozothamnus leptophyllus
Audibertia pachystachya
Monardella hypoleuca
Ocimum nigrum
Aconitum lagoctonum
Clusia conferta
Asepalum eriantherum
Celosia prostrata
Secale montanum
Flemingia glutinosa
Epilobium ciliatum
Rytidosperma fulvum
Viburnum macrocephalum
Dalibarda fragarioides
Agathisanthemum globosum
Canarium bennettii
Tiniaria baldschuanica
Perula benghalensis
Oestlundia ligulata
Pharnaceum maritimum
Prockia crucis
Ballota acuta
Odollamia manghas
Ophrestia hedysaroides
Fumaria disjuncta
Disterigma alaternoides
Amarella propinqua
Triticum durum
Sparattanthelium wonotoboense
Clematopsis villosa
Ammannia retusa
Dicranostyles boliviensis
Exbucklandia populnea
Chenopodium spathulatum
Syzygium lateriflorum
Telopea speciosissima
Drabella frigida
Ilex insignis
Carex nigra
Steinchisma decipiens
Citharexylum ramizii
Amylotheca versteegii
Mallotus polyadenos
Chimonobambusa quadrangularis
Carex stricta
Cyphostemma nieriense
Forsskaolea latifolia
Salvia gariepensis
Sutera arcuata
Aralia californica
Chasmanthium curvifolium
Centaurea benedicta
Veronica quadrifaria
Rubus rotundifolius
Witheringia meiantha
Anemopaegma leptosiphon
Hopea selanica
Eleocharis tenuis
Artocarpus echinatus
Aeschynomene rudis
Schiedea sarmentosa
Lepismium monacanthum
Alafia jasminiflora
Camellia liberistamina
Adiantum ensifolium
Primula albenensis
Thalia dealbata
Taxanthema speciosa
Abryanthemum edule
Merremia pentaphylla
Elaeocarpus fauroensis
Aristolochia odorata
Vatairea fusca
Phaseolus coccineus
Hemianemia intermedia
Mimosa pedunculosa
Hyptis graveolens
Picea likiangensis
Sicydium tripartitum
Satureja canescens
Arytera semiglauca
Pycnarrhena novoguineensis
Gnidia kerstingii
Ipomoea asarifolia
Echium lacaitae
Pseudopentameris macrantha
Hypericum losae
Gerrardanthus macrorhizus
Ericameria parishii
Tingulonga copal
Heladena albiflora
Acer denticulatum
Hesperis iriodes
Tricholobus conchocarpus
Patersonia glabrata
Hopkinsia adscendens
Sisyrinchium longipes
Stipa bigeniculata
Microgynoecium tibeticum
Borago africana
Asplenium nubilum
Gerrardina foliosa
Isopogon anethifolius
Willughbeia elliptica
Hemiandra brevifolia
Dipladenia crassinoda
Tabernaemontana ecarinata
Plantago psyllia
Mentha crenato-dentata
Rheedia edulis
Myrsine paulensis
Senecio quadridentatus
Styrax discolor
Phlomitis tuberosa
Psilonema ruderale
Wielandia leandriana
Potentilla hypoleuca
Ficus fachikoogi
Andira legalis
Allium ericetorum
Daucus kotovii
Prunus serrula
Pinus brutia
Festuca alaica
Plantago myosuros
Ranunculus aquatilis
Erythraea ramosissima
Combretum ramosissimum
Achyranthes okinawensis
Teucrium pannonicum
Begonia rhombicarpa
Coelogyne ecarinata
Arenaria macrorrhiza
Ribes binominatum
Marasmodes dummeri
Hippion aestivum
Astragalus epiglottis
Sideroxylon contrerasii
Hicorius odorata
Macaranga beccariana
Sideritis comosa
Forstera sedifolia
Eremothamnus marlothianus
Lavatera lusitanica
Epigynum curtisii
Urostigma altissimum
Melittis melissophyllum
Euphorbia punctulata
Geniostephanus tomentosus
Rhododendron pentaphyllum
Steffensia eximia
Erigeron bellidioides
Psychotria glomerulata
Diospyros curraniopsis
Sambucus argyi
Epimedium sulphureum
Saussurea ninae
Coccoloba curtisii
Mespilus elegans
Capparis spinosa
Croton matourensis
Convolvulus tridentatus
Strychnos vacacoua
Microthlaspi perfoliatum
Sutera foetida
Podocarpus dispermus
Dioscorea japonica
Arenaria vulgaris
Coreopsis petrophiloides
Lysimachia myrtifolia
Lamium galeobdolon
Podalyria buxifolia
Carpinus orientalis
Eurotia arborescens
Neomyrtus pedunculata
Coussapoa nymphaeifolia
Atriplex nummularia
Platyspermum orientale
Cryphiacanthus tubiflorus
Vitex nitida
Saxifraga maculata
Pseudolysimachion riparium
Heliconia rostrata
Dacrydium falciforme
Laurus rimosa
Carex microglochin
Crucifera irio
Potentilla fragarioides
Camellia pentapetala
Inga vera
Pinus engelmannii
Potentilla recta
Ranunculus ternatus
Iris filifolia
Sphaerostigma andinum
Polymeria pusilla
Cleome triphylla
Naumburgia guttata
Helianthostylis suerpo
Asclepias rotundifolia
Cornus candissima
Rubus jeckylanus
Euphorbia colletioides
Thymus mughicola
Pisonia alba
Ficinia filiformis
Magnolia virginiana
Daphniphyllum reticulatum
Chamaedorea glaucophylla
Terebinthus schlechtendalii
Mussaenda frondosa
Dicrastylis exsuccosa
Salvia fimbriata
Potamogeton columbianus
Pomaderris elliptica
Stachys officinalis
Tilia parvifolia
Indigofera linifolia
Crataegus glabrata
Medicago polycerata
Castanea mollissima
Hirschfeldia consobrina
Limnanthemum geminatum
Gentiana saponaria
Hydnora americana
Primula officinalis
Capsella viarum
Polyphlebium venosum
Artanthe aequalis
Steinhauera sempervirens
Consolida axilliflora
Pradosia schomburgkiana
Aglaia cuspidella
Nicotiana megalosiphon
Helichrysum lanceolatum
Glechoma marrubiastrum
Pourouma bicolor
Macrotyloma uniflorum
Metrosideros diffusa
Monarda coerulea
Maxillariella mexicana
Septulina glauca
Ectrosia scabrida
Spirillus pulcher
Ficus sancti-crucis
Downingia bella
Ruprechtia amentacea
Didymocheton decandrum
Manulea floribunda
Delphinium axillariflorum
Tabernaemontana pacifica
Valeriana toluccana
Acacia subporosa
Chamaenerion tetragonum
Azedara speciosa
Gagnebina commersoniana
Hibbertia volubilis
Epilobium macdougalii
Memecylon bakerianum
Alinula paradoxa
Mandevilla hirsuta
Cordia pringlei
Sida brachypetala
Viscum quernum
Potentilla petrophila
Lonicera stabiana
Palmifolium poeppigianum
Malvastrum parishii
Malapoenna cubeba
Opsantha amarella
Colicodendron yco
Juniperus cannartii
Lithocardium poeppigii
Arnoglossum gramineum
Psoralea roemeriana
Nyssa capitata
Rauvolfia cumminsii
Miconia simplex
Caucalis maxima
Phyllanthus gneissicus
Elsholtzia manshurica
Protea alpina
Jacquinia cuneata
Halopeplis nodulosa
Myriophyllum ambiguum
Orlaya cretica
Coriaria nepalensis
Gloveria integrifolia
Waldsteinia fragarioides
Acetosa thyrsoides
Gaultheria tasmanica
Dacryodes edulis
Aristida latifolia
Corynosicyos edulis
Nymphaea microphylla
Trollius kansuensis
Drabella verna
Amaranthus trivialis
Eruca arvensis
Trichomanes makinoi
Sideroxylon persimile
Sisyrinchium balansae
Phytarrhiza ciliata
Styrax chinensis
Veratrum lobelianum
Disa nivea
Coccinia pubescens
Nepenthes vieillardi
Verbena philippiana
Lepidium bonariense
Sieversia paradoxa
Breynia oblongifolia
Androsace stricta
Polygonum jeholense
Buglossoides tenuiflora
Ficus inaequibractea
Astroloma pinifolium
Mandevilla schumanniana
Sphacopsis verticillata
Convallaria montana
Hydrangea integerrima
Satureja granatensis
Malpighia glandulifera
Guarea purgans
Codonanthe uleana
Maackia amurensis
Stachys heraclea
Carex albursina
Amorphophallus lambii
Glaucium glaucium
Momordica dasycarpa
Prestonia allenii
Centropogon gamosepalus
Guatteria decurrens
Hemigenia polystachya
Ocotea quixos
Melica mutica
Mormolyca richii
Caryophyllata officinalis
Dinemandra subaptera
Triplaris peruviana
Fragariastrum petiolatum
Lithospermum ciliatum
Rinorea ilicifolia
Patellifolia procumbens
Podolepis lessonii
Debregeasia angustifolia
Arenga wightii
Erythraea cachanlahuen
Indigofera frutescens
Medemia argun
Angelica minor
Sesleria alba
Radermachera pentandra
Anigozanthos bicolor
Ionopsis minutiflora
Zygosicyos tripartitus
Trionum annuum
Cereus schenckii
Rosa caucasea
Macrotomia perennis
Ceratonia oreothauma
Neyraudia arundinacea
Hybanthus thesiifolius
Spergula marginata
Hyoscyamus pallidus
Heteromorpha arborescens
Danthonia intermedia
Githopsis latifolius
Ocotea roraimae
Juncus czetzii
Aphania fascicularis
Mentha cardiophyllos
Artocarpus kertau
Phedimus crenatus
Westringia rosmariniformis
Euacer barbinerve
Dracontomelon sylvestre
Bactris ferruginea
Gossypium teleium
Cerastium hirsutum
Abrotanella nivigena
Constantia cipoensis
Maxillaria angustissima
Remijia macrocnemia
Viola rotundifolia
Pachypodium brevicaule
Agrostis thurberiana
Oxystigma mannii
Helianthemum serratum
Houttuynia cordata
Cyanus montanus
Sisymbrium cheiranthoides
Justicia lupulina
Meyera umbellata
Asarum carolinianum
Succisa propera
Vaccinium cereum
Metrosideros polymorpha
Echinosepala uncinata
Rheum franzenbachii
Fraxinus baurieri
Centrostachys breviflora
Diospyros caroliniana
Salix chilensis
Pterotropis impropera
Rhododendron aucubifolium
Spondias mombin
Thalictrum arenarium
Aeollanthus canescens
Aretia maxima
Echites malabaricus
Rubus phoenicolasius
Calpicarpum oppositifolium
Krameria erecta
Salix cheilophila
Urostigma mysorense
Atriplex foliosa
Trientalis alsiniflora
Echites tenuifolius
Liquidambar maximowiczii
Anemone henryi
Nectandra larensis
Schefflera elliptica
Pinus patula
Tessmannia lescrauwaetii
Balfourodendron riedelianum
Luehea parvifolia
Morella spathulata
Micropholis crassipedicellata
Peritassa granulata
Geranium camaense
Populus macrophylla
Pteris rotundifolia
Symplocos crenatifolia
Lepidozamia denisonii
Tetraphyle lanceolata
Caltha alpina
Anemone nobilis
Arenaria filiformis
Erigeron sordidus
Loranthus fulgens
Laportea canadensis
Macroptilium lathyroides
Coccinia quercifolia
Perebea humilis
Oldenlandia umbellata
Malpighia dasycarpa
Ziziphora nummularia
Hypericum hyssopifolium
Gelseminum pandorea
Betula medwediewi
Ranunculus membranaceus
Passiflora suberosa
Trophaeum emarginatum
Banisteria fischeriana
Allium falcifolium
Peucedanum virgatum
Magnolia emarginata
Stachytarpheta cajanensis
Cardia orbicularis
Talisia tiricensis
Salix kolaensis
Angelica tsinlingensis
Moraea moggii
Prasium medium
Schoepfia vacciniiflora
Erica scoparia
Camaridium ramonense
Carex glacialis
Aspidosperma ellipticum
Alsinella erecta
Cassia lindheimerana
Primula henrici
Pulegium parviflorum
Stryphnodendron coriaceum
Macrocarpium officinale
Psilotrichum cordatum
Ornithidium fulgens
Lavatera acerifolia
Ficus nodosa
Gordonia hirta
Aizoon pubescens
Echeveria argentea
Dysosma emodi
Schmidelia rheedei
Thibaudia elliptica
Pilea fontana
Dipladenia rosa-campestris
Dodonaea pinifolia
Martynia craniolaria
Himalaiella deltoidea
Peixotoa paludosa
Taxodium denudatum
Chenopodium radiatum
Chilenia acutissima
Saccoloma moranii
Gentiana hypericifolia
Rorippa laciniata
Spiraea fritschiana
Stemmadenia grandiflora
Sunaptea grandiflora
Mitragyna speciosa
Ancistrocladus pinangianus
Pityrodia racemosa
Lemniscia guianensis
Toxicodendron semialatum
Elatine hastata
Leptospartion grandiflorum
Piper paso-anchoense
Banksia reticulata
Passiflora caerulea
Garcinia massoniana
Wolffia elongata
Carphalea kirondron
Adenocalymma ocositense
Dryadella edwallii
Betonica rigida
Strychnos laxa
Oberonia wappeana
Potamogeton verticillatum
Cnicus deltoideus
Arabis stolonifera
Oxytropis microphylla
Begonia mariti
Puya raimondii
Herpestis micromonnieria
Cissus epidendrica
Aegiphila pendula
Hebenstretia cordata
Brathys radicans
Schilleria macrophylla
Bugula chamaepithys
Schinus discolor
Malpighia glandulosa
Thespesia grandiflora
Styloncerus micropodioides
Vismia viridiflora
Vallaris ipecacuana
Cocculus populifolius
Landolphia scandens
Laserpitium hispidum
Hoffmannseggia trifoliata
Retinispora flavescens
